tahun,provinsi,komoditas,supply_ton,demand_ton,gap_ton,mapping_type,data_quality,forecast_supported,optimizer_mode,supply_index,demand_index
2020,Sumatera Barat,Beras Medium I,,579009.9700000001,,exact,partial_demand,False,demand_only,,0.10713981974425613
2020,Sumatera Selatan,Beras Medium I,,821422.0,,exact,partial_demand,False,demand_only,,0.15527087195100994
2020,Sumatera Utara,Beras Medium I,,1551744.14,,exact,partial_demand,False,demand_only,,0.300276765627525
2021,Aceh,Beras Medium I,,579478.0,,exact,partial_demand,False,demand_only,,0.10723274737810466
2021,Bali,Beras Medium I,,493865.91000000003,,exact,partial_demand,False,demand_only,,0.09023441617598033
2021,Banten,Beras Medium I,,1267531.14,,exact,partial_demand,False,demand_only,,0.2438461060565535
2021,Bengkulu,Beras Medium I,,213372.4,,exact,partial_demand,False,demand_only,,0.034542263548630804
2021,DI Yogyakarta,Beras Medium I,,307814.10000000003,,exact,partial_demand,False,demand_only,,0.0532937190485686
2021,DKI Jakarta,Beras Medium I,,1000528.6,,exact,partial_demand,False,demand_only,,0.19083259351727944
2021,Gorontalo,Beras Medium I,,127822.38,,exact,partial_demand,False,demand_only,,0.01755625638178833
2021,Jambi,Beras Medium I,,338034.45,,exact,partial_demand,False,demand_only,,0.05929398744925966
2021,Jawa Barat,Beras Medium I,,4903319.399999999,,exact,partial_demand,False,demand_only,,0.9657340196009541
2021,Jawa Tengah,Beras Medium I,,3483108.29,,exact,partial_demand,False,demand_only,,0.6837502621116011
2021,Jawa Timur,Beras Medium I,,3712276.2600000002,,exact,partial_demand,False,demand_only,,0.7292516983570951
2021,Kalimantan Barat,Beras Medium I,,539121.0,,exact,partial_demand,False,demand_only,,0.09921984111306509
2021,Kalimantan Selatan,Beras Medium I,,415469.13,,exact,partial_demand,False,demand_only,,0.07466868905005594
2021,Kalimantan Tengah,Beras Medium I,,258610.50000000003,,exact,partial_demand,False,demand_only,,0.04352431511114753
2021,Kalimantan Timur,Beras Medium I,,477971.20000000007,,exact,partial_demand,False,demand_only,,0.08707851208647943
2021,Kalimantan Utara,Beras Medium I,,64673.219999999994,,exact,partial_demand,False,demand_only,,0.005017953242407617
2021,Kepulauan Bangka Belitung,Beras Medium I,,135229.76,,exact,partial_demand,False,demand_only,,0.01902699607030653
2021,Kepulauan Riau,Beras Medium I,,174423.8,,exact,partial_demand,False,demand_only,,0.02680899593819096
2021,Lampung,Beras Medium I,,867536.19,,exact,partial_demand,False,demand_only,,0.1644268717021863
2021,Maluku,Beras Medium I,,164742.15999999997,,exact,partial_demand,False,demand_only,,0.024886700578975508
2021,Maluku Utara,Beras Medium I,,118146.8,,exact,partial_demand,False,demand_only,,0.015635164239163956
2021,Nusa Tenggara Barat,Beras Medium I,,680854.68,,exact,partial_demand,False,demand_only,,0.12736114726662248
2021,Nusa Tenggara Timur,Beras Medium I,,643171.2000000001,,exact,partial_demand,False,demand_only,,0.1198790699818765
2021,Papua,Beras Medium I,,64415.99999999999,,exact,partial_demand,False,demand_only,,0.00496688205898235
2021,Papua Barat,Beras Medium I,,49123.36,,exact,partial_demand,False,demand_only,,0.001930519324760408
2021,Riau,Beras Medium I,,602110.0800000001,,exact,partial_demand,False,demand_only,,0.11172636027358446
2021,Sulawesi Barat,Beras Medium I,,170986.12999999998,,exact,partial_demand,False,demand_only,,0.026126444522571887
2021,Sulawesi Selatan,Beras Medium I,,1006038.1200000001,,exact,partial_demand,False,demand_only,,0.19192651197815022
2021,Sulawesi Tengah,Beras Medium I,,335177.82,,exact,partial_demand,False,demand_only,,0.05872680186995743
2021,Sulawesi Tenggara,Beras Medium I,,286790.36999999994,,exact,partial_demand,False,demand_only,,0.04911944499867635
2021,Sulawesi Utara,Beras Medium I,,276766.38,,exact,partial_demand,False,demand_only,,0.047129175844088704
2021,Sumatera Barat,Beras Medium I,,608581.4700000001,,exact,partial_demand,False,demand_only,,0.113011258592947
2021,Sumatera Selatan,Beras Medium I,,841957.5499999999,,exact,partial_demand,False,demand_only,,0.15934821757261294
2021,Sumatera Utara,Beras Medium I,,1581737.16,,exact,partial_demand,False,demand_only,,0.3062318975220032
2022,Aceh,Beras Medium I,869572.0,555848.7999999999,313723.20000000007,exact,high,True,full,0.14426831349475167,0.10254115571574439
2022,Bali,Beras Medium I,383829.16,499219.47000000003,-115390.31000000006,exact,high,True,full,0.06367780390005083,0.09129736868643118
2022,Banten,Beras Medium I,1018653.08,1266277.4,-247624.31999999995,exact,high,True,full,0.16900263630665016,0.24359717523660326
2022,Bengkulu,Beras Medium I,162197.49,210593.0,-48395.51000000001,exact,high,True,full,0.02690647603523955,0.033990412031594086
2022,DI Yogyakarta,Beras Medium I,319059.52,304788.89999999997,14270.620000000054,exact,high,True,full,0.052931750918878084,0.05269306379587394
2022,DKI Jakarta,Beras Medium I,1378.0,954613.2000000001,-953235.2000000001,exact,high,True,full,0.00022461150819908323,0.18171606363840348
2022,Gorontalo,Beras Medium I,134082.02,127325.5,6756.5199999999895,exact,high,True,full,0.02224178544547291,0.017457600563343625
