No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Konsumsi_Energi 
243,3516,Kabupaten Mojokerto,Jawa Timur,2021,2161
244,3517,Kabupaten Jombang,Jawa Timur,2021,2188
245,3518,Kabupaten Nganjuk,Jawa Timur,2021,2148
246,3519,Kabupaten Madiun,Jawa Timur,2021,2116
247,3520,Kabupaten Magetan,Jawa Timur,2021,2072
248,3521,Kabupaten Ngawi,Jawa Timur,2021,2198
249,3522,Kabupaten Bojonegoro,Jawa Timur,2021,2132
250,3523,Kabupaten Tuban,Jawa Timur,2021,2140
251,3524,Kabupaten Lamongan,Jawa Timur,2021,2186
252,3525,Kabupaten Gresik,Jawa Timur,2021,2101
253,3526,Kabupaten Bangkalan,Jawa Timur,2021,1928
254,3527,Kabupaten Sampang,Jawa Timur,2021,2012
255,3528,Kabupaten Pamekasan,Jawa Timur,2021,1852
256,3529,Kabupaten Sumenep,Jawa Timur,2021,2565
257,3571,Kota Kediri,Jawa Timur,2021,2114
258,3572,Kota Blitar,Jawa Timur,2021,2121
259,3573,Kota Malang,Jawa Timur,2021,1900
260,3574,Kota Probolinggo,Jawa Timur,2021,1999
261,3575,Kota Pasuruan,Jawa Timur,2021,2013
262,3576,Kota Mojokerto,Jawa Timur,2021,1953
263,3577,Kota Madiun,Jawa Timur,2021,2050
264,3578,Kota Surabaya,Jawa Timur,2021,2088
265,3579,Kota Batu,Jawa Timur,2021,1934
266,3601,Kabupaten Pandeglang,Banten,2021,2216
267,3602,Kabupaten Lebak,Banten,2021,2550
268,3603,Kabupaten Tangerang,Banten,2021,2292
269,3604,Kabupaten Serang,Banten,2021,2160
270,3671,Kota Tangerang,Banten,2021,2268
271,3672,Kota Cilegon,Banten,2021,2231
272,3673,Kota Serang,Banten,2021,2289
273,3674,Kota Tangerang Selatan,Banten,2021,2122
274,5101,Kabupaten Jembrana,Bali,2021,2350
275,5102,Kabupaten Tabanan,Bali,2021,2226
276,5103,Kabupaten Badung,Bali,2021,2086
277,5104,Kabupaten Gianyar,Bali,2021,2323
278,5105,Kabupaten Klungkung,Bali,2021,2250
279,5106,Kabupaten Bangli,Bali,2021,2260
280,5107,Kabupaten Karangasem,Bali,2021,2216
281,5108,Kabupaten Buleleng,Bali,2021,2226
282,5171,Kota Denpasar,Bali,2021,2101
283,5201,Kabupaten Lombok Barat,Nusa Tenggara Barat,2021,2468
284,5202,Kabupaten Lombok Tengah,Nusa Tenggara Barat,2021,2567
285,5203,Kabupaten Lombok Timur,Nusa Tenggara Barat,2021,2968
286,5204,Kabupaten Sumbawa,Nusa Tenggara Barat,2021,2304
287,5205,Kabupaten Dompu,Nusa Tenggara Barat,2021,2190
288,5206,Kabupaten Bima,Nusa Tenggara Barat,2021,2187
289,5207,Kabupaten Sumbawa Barat,Nusa Tenggara Barat,2021,2470
290,5208,Kabupaten Lombok Utara,Nusa Tenggara Barat,2021,2479
291,5271,Kota Mataram,Nusa Tenggara Barat,2021,2507
292,5272,Kota Bima,Nusa Tenggara Barat,2021,2190
293,5312,Kabupaten Sumba Barat,Nusa Tenggara Timur,2021,1913
294,5311,Kabupaten Sumba Timur,Nusa Tenggara Timur,2021,2058
295,5301,Kabupaten Kupang,Nusa Tenggara Timur,2021,1938
296,5302,Kabupaten Timor Tengah Selatan,Nusa Tenggara Timur,2021,1884
297,5303,Kabupaten Timor Tengah Utara,Nusa Tenggara Timur,2021,2033
298,5304,Kabupaten Belu,Nusa Tenggara Timur,2021,2062
299,5305,Kabupaten Alor,Nusa Tenggara Timur,2021,1864
300,5313,Kabupaten Lembata,Nusa Tenggara Timur,2021,1871
301,5306,Kabupaten Flores Timur,Nusa Tenggara Timur,2021,1910
302,5307,Kabupaten Sikka,Nusa Tenggara Timur,2021,1846
303,5308,Kabupaten Ende,Nusa Tenggara Timur,2021,2176
304,5309,Kabupaten Ngada,Nusa Tenggara Timur,2021,2207
305,5310,Kabupaten Manggarai,Nusa Tenggara Timur,2021,2255
306,5314,Kabupaten Rote Ndao,Nusa Tenggara Timur,2021,1875
307,5315,Kabupaten Manggarai Barat,Nusa Tenggara Timur,2021,2144
308,5317,Kabupaten Sumba Tengah,Nusa Tenggara Timur,2021,1842
