No,Kelompok Bahan Pangan,Komoditas,konsumsi_pangan,Satuan,Tahun
96,Buah/biji berminyak,Kelapa,1.1,kg/kap/tahun,2020
97,Buah/biji berminyak,Kemiri,0.2,kg/kap/tahun,2020
98,Kacang-kacangan,Kacang-kacangan,9.2,kg/kap/tahun,2020
99,Kacang-kacangan,Kedelai,8.2,kg/kap/tahun,2020
100,Kacang-kacangan,Kacang Tanah,0.3,kg/kap/tahun,2020
101,Kacang-kacangan,Kacang Hijau,0.4,kg/kap/tahun,2020
102,Kacang-kacangan,Kacang Lain,0.3,kg/kap/tahun,2020
103,Gula,Gula,7.3,kg/kap/tahun,2020
104,Gula,Gula Pasir,6.7,kg/kap/tahun,2020
105,Gula,Gula Merah,0.6,kg/kap/tahun,2020
106,Sayuran dan buah,Sayuran dan buah,84.6,kg/kap/tahun,2020
107,Sayuran dan buah,Sayur,52.3,kg/kap/tahun,2020
108,Sayuran dan buah,Buah,32.3,kg/kap/tahun,2020
109,Lain-lain,Lain-lain,33.8,kg/kap/tahun,2020
110,Lain-lain,Minuman,30.9,kg/kap/tahun,2020
111,Lain-lain,Bumbu-Bumbuan,2.9,kg/kap/tahun,2020
112,Padi-padian,Padi-padian,112.8,kg/kap/tahun,2021
113,Padi-padian,Beras,94.4,kg/kap/tahun,2021
114,Padi-padian,Jagung,1.5,kg/kap/tahun,2021
115,Padi-padian,Terigu,16.9,kg/kap/tahun,2021
116,Umbi-umbian,Umbi-umbian,18.2,kg/kap/tahun,2021
117,Umbi-umbian,Singkong,10.5,kg/kap/tahun,2021
118,Umbi-umbian,Ubi Jalar,3.8,kg/kap/tahun,2021
119,Umbi-umbian,Kentang,2.8,kg/kap/tahun,2021
120,Umbi-umbian,Sagu,0.3,kg/kap/tahun,2021
121,Umbi-umbian,Umbi Lainnya,0.7,kg/kap/tahun,2021
122,Pangan Hewani,Pangan Hewani,44.7,kg/kap/tahun,2021
123,Pangan Hewani,Daging Ruminansia,3.6,kg/kap/tahun,2021
124,Pangan Hewani,Daging Unggas,8.3,kg/kap/tahun,2021
125,Pangan Hewani,Telur,7.5,kg/kap/tahun,2021
126,Pangan Hewani,Susu,2.8,kg/kap/tahun,2021
127,Pangan Hewani,Ikan,22.4,kg/kap/tahun,2021
128,Minyak dan Lemak,Minyak dan Lemak,10.9,kg/kap/tahun,2021
129,Minyak dan Lemak,Minyak Kelapa,0.7,kg/kap/tahun,2021
130,Minyak dan Lemak,Minyak Sawit,9.8,kg/kap/tahun,2021
131,Minyak dan Lemak,Minyak Lainnya,0.4,kg/kap/tahun,2021
132,Buah/biji berminyak,Buah/biji berminyak,1.4,kg/kap/tahun,2021
133,Buah/biji berminyak,Kelapa,1.1,kg/kap/tahun,2021
134,Buah/biji berminyak,Kemiri,0.3,kg/kap/tahun,2021
135,Kacang-kacangan,Kacang-kacangan,9.3,kg/kap/tahun,2021
136,Kacang-kacangan,Kedelai,8.5,kg/kap/tahun,2021
137,Kacang-kacangan,Kacang Tanah,0.3,kg/kap/tahun,2021
138,Kacang-kacangan,Kacang Hijau,0.3,kg/kap/tahun,2021
139,Kacang-kacangan,Kacang Lain,0.2,kg/kap/tahun,2021
140,Gula,Gula,7.6,kg/kap/tahun,2021
141,Gula,Gula Pasir,6.9,kg/kap/tahun,2021
142,Gula,Gula Merah,0.7,kg/kap/tahun,2021
143,Sayuran dan buah,Sayuran dan buah,82.6,kg/kap/tahun,2021
144,Sayuran dan buah,Sayur,54.6,kg/kap/tahun,2021
145,Sayuran dan buah,Buah,28,kg/kap/tahun,2021
146,Lain-lain,Lain-lain,28.6,kg/kap/tahun,2021
147,Lain-lain,Minuman,25.5,kg/kap/tahun,2021
148,Lain-lain,Bumbu-Bumbuan,3.1,kg/kap/tahun,2021
149,Padi-padian,Padi-padian,111.2,kg/kap/tahun,2022
150,Padi-padian,Beras,93.5,kg/kap/tahun,2022
151,Padi-padian,Jagung,1.4,kg/kap/tahun,2022
152,Padi-padian,Terigu,16.3,kg/kap/tahun,2022
153,Umbi-umbian,Umbi-umbian,17.5,kg/kap/tahun,2022
154,Umbi-umbian,Singkong,9.7,kg/kap/tahun,2022
155,Umbi-umbian,Ubi Jalar,3.5,kg/kap/tahun,2022
156,Umbi-umbian,Kentang,3.2,kg/kap/tahun,2022
157,Umbi-umbian,Sagu,0.3,kg/kap/tahun,2022
158,Umbi-umbian,Umbi Lainnya,0.8,kg/kap/tahun,2022
159,Pangan Hewani,Pangan Hewani,46.1,kg/kap/tahun,2022
