No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,%AKP
219,3373,Kota Salatiga,Jawa Tengah,2021,158.3
220,3374,Kota Semarang,Jawa Tengah,2021,147.8
221,3375,Kota Pekalongan,Jawa Tengah,2021,173
222,3376,Kota Tegal,Jawa Tengah,2021,179.3
223,3401,Kabupaten Kulon Progo,DI Yogyakarta,2021,160.5
224,3402,Kabupaten Bantul,DI Yogyakarta,2021,170.7
225,3403,Kabupaten Gunung Kidul,DI Yogyakarta,2021,174.8
226,3404,Kabupaten Sleman,DI Yogyakarta,2021,178.1
227,3471,Kota Yogyakarta,DI Yogyakarta,2021,159.9
228,3501,Kabupaten Pacitan,Jawa Timur,2021,178.3
229,3502,Kabupaten Ponorogo,Jawa Timur,2021,166.9
230,3503,Kabupaten Trenggalek,Jawa Timur,2021,170.8
231,3504,Kabupaten Tulungagung,Jawa Timur,2021,163.2
232,3505,Kabupaten Blitar,Jawa Timur,2021,162.2
233,3506,Kabupaten Kediri,Jawa Timur,2021,176.9
234,3507,Kabupaten Malang,Jawa Timur,2021,164.3
235,3508,Kabupaten Lumajang,Jawa Timur,2021,197.6
236,3509,Kabupaten Jember,Jawa Timur,2021,178.5
237,3510,Kabupaten Banyuwangi,Jawa Timur,2021,180.1
238,3511,Kabupaten Bondowoso,Jawa Timur,2021,171
239,3512,Kabupaten Situbondo,Jawa Timur,2021,178.7
240,3513,Kabupaten Probolinggo,Jawa Timur,2021,169.4
241,3514,Kabupaten Pasuruan,Jawa Timur,2021,178.1
242,3515,Kabupaten Sidoarjo,Jawa Timur,2021,159.3
243,3516,Kabupaten Mojokerto,Jawa Timur,2021,177.2
244,3517,Kabupaten Jombang,Jawa Timur,2021,167.9
245,3518,Kabupaten Nganjuk,Jawa Timur,2021,177.6
246,3519,Kabupaten Madiun,Jawa Timur,2021,172.9
247,3520,Kabupaten Magetan,Jawa Timur,2021,168.1
248,3521,Kabupaten Ngawi,Jawa Timur,2021,171.8
249,3522,Kabupaten Bojonegoro,Jawa Timur,2021,180.4
250,3523,Kabupaten Tuban,Jawa Timur,2021,180.9
251,3524,Kabupaten Lamongan,Jawa Timur,2021,186.9
252,3525,Kabupaten Gresik,Jawa Timur,2021,164.9
253,3526,Kabupaten Bangkalan,Jawa Timur,2021,164.1
254,3527,Kabupaten Sampang,Jawa Timur,2021,164.7
255,3528,Kabupaten Pamekasan,Jawa Timur,2021,158.4
256,3529,Kabupaten Sumenep,Jawa Timur,2021,236.6
257,3571,Kota Kediri,Jawa Timur,2021,165.8
258,3572,Kota Blitar,Jawa Timur,2021,156.7
259,3573,Kota Malang,Jawa Timur,2021,152.6
260,3574,Kota Probolinggo,Jawa Timur,2021,155
261,3575,Kota Pasuruan,Jawa Timur,2021,171.2
262,3576,Kota Mojokerto,Jawa Timur,2021,158.4
263,3577,Kota Madiun,Jawa Timur,2021,170.7
264,3578,Kota Surabaya,Jawa Timur,2021,166.3
265,3579,Kota Batu,Jawa Timur,2021,159.2
266,3601,Kabupaten Pandeglang,Banten,2021,187.1
267,3602,Kabupaten Lebak,Banten,2021,207.1
268,3603,Kabupaten Tangerang,Banten,2021,178
269,3604,Kabupaten Serang,Banten,2021,184.3
270,3671,Kota Tangerang,Banten,2021,197.9
271,3672,Kota Cilegon,Banten,2021,170.9
272,3673,Kota Serang,Banten,2021,180.7
273,3674,Kota Tangerang Selatan,Banten,2021,167.8
274,5101,Kabupaten Jembrana,Bali,2021,199.1
275,5102,Kabupaten Tabanan,Bali,2021,190
276,5103,Kabupaten Badung,Bali,2021,186.5
277,5104,Kabupaten Gianyar,Bali,2021,194.7
278,5105,Kabupaten Klungkung,Bali,2021,207.6
279,5106,Kabupaten Bangli,Bali,2021,200.7
280,5107,Kabupaten Karangasem,Bali,2021,178.3
281,5108,Kabupaten Buleleng,Bali,2021,191.6
282,5171,Kota Denpasar,Bali,2021,181.9
283,5201,Kabupaten Lombok Barat,Nusa Tenggara Barat,2021,208.4
