No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Skor_PPH
177,3217,Kabupaten Bandung Barat,Jawa Barat,2021,78.6
178,3218,Kabupaten Pangandaran,Jawa Barat,2021,93.6
179,3271,Kota Bogor,Jawa Barat,2021,80.8
180,3272,Kota Sukabumi,Jawa Barat,2021,84.8
181,3273,Kota Bandung,Jawa Barat,2021,85.4
182,3274,Kota Cirebon,Jawa Barat,2021,87.3
183,3275,Kota Bekasi,Jawa Barat,2021,88.7
184,3276,Kota Depok,Jawa Barat,2021,84.9
185,3277,Kota Cimahi,Jawa Barat,2021,83.9
186,3278,Kota Tasikmalaya,Jawa Barat,2021,91.5
187,3279,Kota Banjar,Jawa Barat,2021,94.7
188,3301,Kabupaten Cilacap,Jawa Tengah,2021,80.5
189,3302,Kabupaten Banyumas,Jawa Tengah,2021,91.4
190,3303,Kabupaten  Purbalingga,Jawa Tengah,2021,80.3
191,3304,Kabupaten Banjarnegara,Jawa Tengah,2021,94.1
192,3305,Kabupaten Kebumen,Jawa Tengah,2021,87.3
193,3306,Kabupaten Purworejo,Jawa Tengah,2021,91.3
194,3307,Kabupaten Wonosobo,Jawa Tengah,2021,86
195,3308,Kabupaten Magelang,Jawa Tengah,2021,84
196,3309,Kabupaten Boyolali,Jawa Tengah,2021,82.6
197,3310,Kabupaten Klaten,Jawa Tengah,2021,85.2
198,3311,Kabupaten Sukoharjo,Jawa Tengah,2021,89.3
199,3312,Kabupaten Wonogiri,Jawa Tengah,2021,83.4
200,3313,Kabupaten Karanganyar,Jawa Tengah,2021,87.2
201,3314,Kabupaten Sragen,Jawa Tengah,2021,93.1
202,3315,Kabupaten Grobogan,Jawa Tengah,2021,85.7
203,3316,Kabupaten Blora,Jawa Tengah,2021,88.5
204,3317,Kabupaten Rembang,Jawa Tengah,2021,84.6
205,3318,Kabupaten Pati,Jawa Tengah,2021,88.6
206,3319,Kabupaten Kudus,Jawa Tengah,2021,88.5
207,3320,Kabupaten Jepara,Jawa Tengah,2021,79.7
208,3321,Kabupaten Demak,Jawa Tengah,2021,92.1
209,3322,Kabupaten Semarang,Jawa Tengah,2021,86
210,3323,Kabupaten Temanggung,Jawa Tengah,2021,79.7
211,3324,Kabupaten Kendal,Jawa Tengah,2021,91.6
212,3325,Kabupaten Batang ,Jawa Tengah,2021,91.2
213,3326,Kabupaten Pekalongan,Jawa Tengah,2021,91
214,3327,Kabupaten Pemalang,Jawa Tengah,2021,95.2
215,3328,Kabupaten Tegal,Jawa Tengah,2021,90
216,3329,Kabupaten Brebes,Jawa Tengah,2021,84.9
217,3371,Kota Magelang,Jawa Tengah,2021,84
218,3372,Kota Surakarta,Jawa Tengah,2021,92.8
219,3373,Kota Salatiga,Jawa Tengah,2021,90.9
220,3374,Kota Semarang,Jawa Tengah,2021,88.9
221,3375,Kota Pekalongan,Jawa Tengah,2021,81.7
222,3376,Kota Tegal,Jawa Tengah,2021,88.9
223,3401,Kabupaten Kulon Progo,DI Yogyakarta,2021,89.6
224,3402,Kabupaten Bantul,DI Yogyakarta,2021,93.6
225,3403,Kabupaten Gunung Kidul,DI Yogyakarta,2021,90.2
226,3404,Kabupaten Sleman,DI Yogyakarta,2021,94.5
227,3471,Kota Yogyakarta,DI Yogyakarta,2021,90.8
228,3501,Kabupaten Pacitan,Jawa Timur,2021,86.1
229,3502,Kabupaten Ponorogo,Jawa Timur,2021,89
230,3503,Kabupaten Trenggalek,Jawa Timur,2021,85.2
231,3504,Kabupaten Tulungagung,Jawa Timur,2021,91.7
232,3505,Kabupaten Blitar,Jawa Timur,2021,88.4
233,3506,Kabupaten Kediri,Jawa Timur,2021,92
234,3507,Kabupaten Malang,Jawa Timur,2021,85.1
235,3508,Kabupaten Lumajang,Jawa Timur,2021,93.3
236,3509,Kabupaten Jember,Jawa Timur,2021,92.5
237,3510,Kabupaten Banyuwangi,Jawa Timur,2021,88.9
238,3511,Kabupaten Bondowoso,Jawa Timur,2021,81.8
239,3512,Kabupaten Situbondo,Jawa Timur,2021,83.5
240,3513,Kabupaten Probolinggo,Jawa Timur,2021,78.8
241,3514,Kabupaten Pasuruan,Jawa Timur,2021,86.1
242,3515,Kabupaten Sidoarjo,Jawa Timur,2021,88.2
243,3516,Kabupaten Mojokerto,Jawa Timur,2021,91
244,3517,Kabupaten Jombang,Jawa Timur,2021,95.9
245,3518,Kabupaten Nganjuk,Jawa Timur,2021,91.3
246,3519,Kabupaten Madiun,Jawa Timur,2021,90.6
247,3520,Kabupaten Magetan,Jawa Timur,2021,89.4
248,3521,Kabupaten Ngawi,Jawa Timur,2021,90.5
249,3522,Kabupaten Bojonegoro,Jawa Timur,2021,81.8
250,3523,Kabupaten Tuban,Jawa Timur,2021,89.9
251,3524,Kabupaten Lamongan,Jawa Timur,2021,88
252,3525,Kabupaten Gresik,Jawa Timur,2021,87.1
253,3526,Kabupaten Bangkalan,Jawa Timur,2021,70.5
254,3527,Kabupaten Sampang,Jawa Timur,2021,65.3
255,3528,Kabupaten Pamekasan,Jawa Timur,2021,67.6
256,3529,Kabupaten Sumenep,Jawa Timur,2021,90.2
257,3571,Kota Kediri,Jawa Timur,2021,96.3
258,3572,Kota Blitar,Jawa Timur,2021,94.7
259,3573,Kota Malang,Jawa Timur,2021,87.4
260,3574,Kota Probolinggo,Jawa Timur,2021,85.1
261,3575,Kota Pasuruan,Jawa Timur,2021,86.2
262,3576,Kota Mojokerto,Jawa Timur,2021,90.7
263,3577,Kota Madiun,Jawa Timur,2021,95.1
264,3578,Kota Surabaya,Jawa Timur,2021,91
265,3579,Kota Batu,Jawa Timur,2021,87.6
266,3601,Kabupaten Pandeglang,Banten,2021,73.5
267,3602,Kabupaten Lebak,Banten,2021,91.3
268,3603,Kabupaten Tangerang,Banten,2021,92.8
269,3604,Kabupaten Serang,Banten,2021,74.9
270,3671,Kota Tangerang,Banten,2021,89.4
271,3672,Kota Cilegon,Banten,2021,87.6
272,3673,Kota Serang,Banten,2021,82.8
273,3674,Kota Tangerang Selatan,Banten,2021,87.3
274,5101,Kabupaten Jembrana,Bali,2021,93.4
275,5102,Kabupaten Tabanan,Bali,2021,89.5
276,5103,Kabupaten Badung,Bali,2021,84.6
277,5104,Kabupaten Gianyar,Bali,2021,91.8
278,5105,Kabupaten Klungkung,Bali,2021,85.5
279,5106,Kabupaten Bangli,Bali,2021,91
280,5107,Kabupaten Karangasem,Bali,2021,84
281,5108,Kabupaten Buleleng,Bali,2021,84.1
