No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,%AKE
137,1812,Kabupaten Tulang Bawang Barat,Lampung,2021,86.2
138,1813,Kabupaten Pesisir Barat,Lampung,2021,96.5
139,1871,Kota Bandar Lampung,Lampung,2021,98.3
140,1872,Kota Metro,Lampung,2021,98.8
141,1901,Kabupaten Bangka,Kep. Bangka Belitung,2021,99.8
142,1902,Kabupaten Belitung,Kep. Bangka Belitung,2021,101.6
143,1905,Kabupaten Bangka Barat,Kep. Bangka Belitung,2021,106
144,1904,Kabupaten Bangka Tengah,Kep. Bangka Belitung,2021,100.3
145,1903,Kabupaten Bangka Selatan,Kep. Bangka Belitung,2021,100
146,1906,Kabupaten Belitung Timur,Kep. Bangka Belitung,2021,102
147,1971,Kota Pangkal Pinang,Kep. Bangka Belitung,2021,95.2
148,2102,Kabupaten Karimun,Kep. Riau,2021,96.5
149,2101,Kabupaten Bintan,Kep. Riau,2021,96.5
150,2103,Kabupaten Natuna,Kep. Riau,2021,96.7
151,2104,Kabupaten Lingga,Kep. Riau,2021,102.8
152,2105,Kabupaten Kepulauan Anambas,Kep. Riau,2021,89.9
153,2171,Kota Batam,Kep. Riau,2021,105.3
154,2172,Kota Tanjung Pinang,Kep. Riau,2021,97
155,3101,Kabupaten Kepulauan Seribu,DKI Jakarta,2021,96.9
156,3174,Kota Jakarta Selatan,DKI Jakarta,2021,103.2
157,3175,Kota Jakarta Timur,DKI Jakarta,2021,104.8
158,3171,Kota Jakarta Pusat,DKI Jakarta,2021,107.3
159,3173,Kota Jakarta Barat,DKI Jakarta,2021,106
160,3172,Kota Jakarta Utara,DKI Jakarta,2021,110.1
161,3201,Kabupaten Bogor,Jawa Barat,2021,101.3
162,3202,Kabupaten Sukabumi,Jawa Barat,2021,113.2
163,3203,Kabupaten Cianjur,Jawa Barat,2021,110
164,3204,Kabupaten Bandung,Jawa Barat,2021,103.1
165,3205,Kabupaten Garut,Jawa Barat,2021,95
166,3206,Kabupaten Tasikmalaya,Jawa Barat,2021,100.8
167,3207,Kabupaten Ciamis,Jawa Barat,2021,109.9
168,3208,Kabupaten Kuningan,Jawa Barat,2021,116
169,3209,Kabupaten Cirebon,Jawa Barat,2021,114.7
170,3210,Kabupaten Majalengka,Jawa Barat,2021,112.8
171,3211,Kabupaten Sumedang,Jawa Barat,2021,110.1
172,3212,Kabupaten Indramayu,Jawa Barat,2021,121
173,3213,Kabupaten Subang,Jawa Barat,2021,108.1
174,3214,Kabupaten Purwakarta,Jawa Barat,2021,110.7
175,3215,Kabupaten Karawang,Jawa Barat,2021,106.1
176,3216,Kabupaten Bekasi,Jawa Barat,2021,104
177,3217,Kabupaten Bandung Barat,Jawa Barat,2021,98.4
178,3218,Kabupaten Pangandaran,Jawa Barat,2021,112.7
179,3271,Kota Bogor,Jawa Barat,2021,99.5
180,3272,Kota Sukabumi,Jawa Barat,2021,101.6
181,3273,Kota Bandung,Jawa Barat,2021,102.9
182,3274,Kota Cirebon,Jawa Barat,2021,97.8
183,3275,Kota Bekasi,Jawa Barat,2021,103.8
184,3276,Kota Depok,Jawa Barat,2021,99.8
185,3277,Kota Cimahi,Jawa Barat,2021,94.3
186,3278,Kota Tasikmalaya,Jawa Barat,2021,111.7
187,3279,Kota Banjar,Jawa Barat,2021,115
188,3301,Kabupaten Cilacap,Jawa Tengah,2021,91
189,3302,Kabupaten Banyumas,Jawa Tengah,2021,105.2
190,3303,Kabupaten  Purbalingga,Jawa Tengah,2021,89.1
191,3304,Kabupaten Banjarnegara,Jawa Tengah,2021,100
192,3305,Kabupaten Kebumen,Jawa Tengah,2021,97.9
193,3306,Kabupaten Purworejo,Jawa Tengah,2021,94.9
194,3307,Kabupaten Wonosobo,Jawa Tengah,2021,93.7
195,3308,Kabupaten Magelang,Jawa Tengah,2021,93.2
196,3309,Kabupaten Boyolali,Jawa Tengah,2021,91.4
197,3310,Kabupaten Klaten,Jawa Tengah,2021,93.6
198,3311,Kabupaten Sukoharjo,Jawa Tengah,2021,93.2
199,3312,Kabupaten Wonogiri,Jawa Tengah,2021,93.4
200,3313,Kabupaten Karanganyar,Jawa Tengah,2021,90.7
201,3314,Kabupaten Sragen,Jawa Tengah,2021,100.1
202,3315,Kabupaten Grobogan,Jawa Tengah,2021,100.3
203,3316,Kabupaten Blora,Jawa Tengah,2021,102.5
204,3317,Kabupaten Rembang,Jawa Tengah,2021,100.2
205,3318,Kabupaten Pati,Jawa Tengah,2021,97.6
206,3319,Kabupaten Kudus,Jawa Tengah,2021,92.5
207,3320,Kabupaten Jepara,Jawa Tengah,2021,91.4
208,3321,Kabupaten Demak,Jawa Tengah,2021,104.8
209,3322,Kabupaten Semarang,Jawa Tengah,2021,95.2
210,3323,Kabupaten Temanggung,Jawa Tengah,2021,88.1
211,3324,Kabupaten Kendal,Jawa Tengah,2021,101.3
212,3325,Kabupaten Batang ,Jawa Tengah,2021,105
213,3326,Kabupaten Pekalongan,Jawa Tengah,2021,103.4
214,3327,Kabupaten Pemalang,Jawa Tengah,2021,113.9
215,3328,Kabupaten Tegal,Jawa Tengah,2021,106.3
216,3329,Kabupaten Brebes,Jawa Tengah,2021,101.3
217,3371,Kota Magelang,Jawa Tengah,2021,93.2
218,3372,Kota Surakarta,Jawa Tengah,2021,94.7
219,3373,Kota Salatiga,Jawa Tengah,2021,98
220,3374,Kota Semarang,Jawa Tengah,2021,95.6
221,3375,Kota Pekalongan,Jawa Tengah,2021,96.2
222,3376,Kota Tegal,Jawa Tengah,2021,104.6
223,3401,Kabupaten Kulon Progo,DI Yogyakarta,2021,94.7
224,3402,Kabupaten Bantul,DI Yogyakarta,2021,99.6
225,3403,Kabupaten Gunung Kidul,DI Yogyakarta,2021,104
226,3404,Kabupaten Sleman,DI Yogyakarta,2021,109.1
227,3471,Kota Yogyakarta,DI Yogyakarta,2021,92.1
228,3501,Kabupaten Pacitan,Jawa Timur,2021,97.4
229,3502,Kabupaten Ponorogo,Jawa Timur,2021,96.6
230,3503,Kabupaten Trenggalek,Jawa Timur,2021,98.1
231,3504,Kabupaten Tulungagung,Jawa Timur,2021,96.7
232,3505,Kabupaten Blitar,Jawa Timur,2021,98.2
233,3506,Kabupaten Kediri,Jawa Timur,2021,101.5
234,3507,Kabupaten Malang,Jawa Timur,2021,95.6
235,3508,Kabupaten Lumajang,Jawa Timur,2021,110.1
236,3509,Kabupaten Jember,Jawa Timur,2021,107
237,3510,Kabupaten Banyuwangi,Jawa Timur,2021,102.3
238,3511,Kabupaten Bondowoso,Jawa Timur,2021,101.7
239,3512,Kabupaten Situbondo,Jawa Timur,2021,103.9
240,3513,Kabupaten Probolinggo,Jawa Timur,2021,98.5
241,3514,Kabupaten Pasuruan,Jawa Timur,2021,105.7
242,3515,Kabupaten Sidoarjo,Jawa Timur,2021,95.8
243,3516,Kabupaten Mojokerto,Jawa Timur,2021,102.9
244,3517,Kabupaten Jombang,Jawa Timur,2021,104.2
245,3518,Kabupaten Nganjuk,Jawa Timur,2021,102.3
246,3519,Kabupaten Madiun,Jawa Timur,2021,100.8
247,3520,Kabupaten Magetan,Jawa Timur,2021,98.7
248,3521,Kabupaten Ngawi,Jawa Timur,2021,104.6
249,3522,Kabupaten Bojonegoro,Jawa Timur,2021,101.5
250,3523,Kabupaten Tuban,Jawa Timur,2021,101.9
251,3524,Kabupaten Lamongan,Jawa Timur,2021,104.1
252,3525,Kabupaten Gresik,Jawa Timur,2021,100
253,3526,Kabupaten Bangkalan,Jawa Timur,2021,91.8
254,3527,Kabupaten Sampang,Jawa Timur,2021,95.8
255,3528,Kabupaten Pamekasan,Jawa Timur,2021,88.2
256,3529,Kabupaten Sumenep,Jawa Timur,2021,122.2
257,3571,Kota Kediri,Jawa Timur,2021,100.7
258,3572,Kota Blitar,Jawa Timur,2021,101
259,3573,Kota Malang,Jawa Timur,2021,90.5
260,3574,Kota Probolinggo,Jawa Timur,2021,95.2
261,3575,Kota Pasuruan,Jawa Timur,2021,95.9
262,3576,Kota Mojokerto,Jawa Timur,2021,93
263,3577,Kota Madiun,Jawa Timur,2021,97.6
264,3578,Kota Surabaya,Jawa Timur,2021,99.4
265,3579,Kota Batu,Jawa Timur,2021,92.1
266,3601,Kabupaten Pandeglang,Banten,2021,105.5
267,3602,Kabupaten Lebak,Banten,2021,121.4
268,3603,Kabupaten Tangerang,Banten,2021,109.1
269,3604,Kabupaten Serang,Banten,2021,102.9
270,3671,Kota Tangerang,Banten,2021,108
271,3672,Kota Cilegon,Banten,2021,106.2
272,3673,Kota Serang,Banten,2021,109
273,3674,Kota Tangerang Selatan,Banten,2021,101
274,5101,Kabupaten Jembrana,Bali,2021,111.9
275,5102,Kabupaten Tabanan,Bali,2021,106
276,5103,Kabupaten Badung,Bali,2021,99.3
277,5104,Kabupaten Gianyar,Bali,2021,110.6
278,5105,Kabupaten Klungkung,Bali,2021,107.1
279,5106,Kabupaten Bangli,Bali,2021,107.6
280,5107,Kabupaten Karangasem,Bali,2021,105.5
281,5108,Kabupaten Buleleng,Bali,2021,106
282,5171,Kota Denpasar,Bali,2021,100
283,5201,Kabupaten Lombok Barat,Nusa Tenggara Barat,2021,117.5
284,5202,Kabupaten Lombok Tengah,Nusa Tenggara Barat,2021,122.2
285,5203,Kabupaten Lombok Timur,Nusa Tenggara Barat,2021,141.3
286,5204,Kabupaten Sumbawa,Nusa Tenggara Barat,2021,109.7
287,5205,Kabupaten Dompu,Nusa Tenggara Barat,2021,104.3
288,5206,Kabupaten Bima,Nusa Tenggara Barat,2021,104.1
289,5207,Kabupaten Sumbawa Barat,Nusa Tenggara Barat,2021,117.6
290,5208,Kabupaten Lombok Utara,Nusa Tenggara Barat,2021,118
291,5271,Kota Mataram,Nusa Tenggara Barat,2021,119.4
292,5272,Kota Bima,Nusa Tenggara Barat,2021,104.3
293,5312,Kabupaten Sumba Barat,Nusa Tenggara Timur,2021,91.1
294,5311,Kabupaten Sumba Timur,Nusa Tenggara Timur,2021,98
295,5301,Kabupaten Kupang,Nusa Tenggara Timur,2021,92.3
296,5302,Kabupaten Timor Tengah Selatan,Nusa Tenggara Timur,2021,89.7
297,5303,Kabupaten Timor Tengah Utara,Nusa Tenggara Timur,2021,96.8
298,5304,Kabupaten Belu,Nusa Tenggara Timur,2021,98.2
299,5305,Kabupaten Alor,Nusa Tenggara Timur,2021,88.8
300,5313,Kabupaten Lembata,Nusa Tenggara Timur,2021,89.1
301,5306,Kabupaten Flores Timur,Nusa Tenggara Timur,2021,91
302,5307,Kabupaten Sikka,Nusa Tenggara Timur,2021,87.9
