No,Kode Wilayah,Kabupaten_Kota,Provinsi,Tahun,Konsumsi_Protein
106,1609,Kabupaten Ogan Komering Ulu Selatan,Sumatera Selatan,2021,54.2
107,1608,Kabupaten Ogan Komering Ulu Timur,Sumatera Selatan,2021,68.7
108,1610,Kabupaten Ogan Ilir,Sumatera Selatan,2021,60.2
109,1611,Kabupaten Empat Lawang,Sumatera Selatan,2021,55.3
110,1612,Kabupaten Penukal Abab Lematang Ilir,Sumatera Selatan,2021,56.8
111,1613,Kabupaten Musi Rawas Utara,Sumatera Selatan,2021,61.7
112,1671,Kota Palembang,Sumatera Selatan,2021,65.3
113,1674,Kota Prabumulih,Sumatera Selatan,2021,53.3
114,1672,Kota Pagar Alam,Sumatera Selatan,2021,64.8
115,1673,Kota Lubuklinggau,Sumatera Selatan,2021,69.1
116,1701,Kabupaten Bengkulu Selatan,Bengkulu,2021,59.6
117,1702,Kabupaten Rejang Lebong,Bengkulu,2021,59.7
118,1703,Kabupaten Bengkulu Utara,Bengkulu,2021,60.6
119,1704,Kabupaten Kaur,Bengkulu,2021,62.6
120,1705,Kabupaten Seluma,Bengkulu,2021,54.4
121,1706,Kabupaten Mukomuko,Bengkulu,2021,59.1
122,1707,Kabupaten Lebong,Bengkulu,2021,62.8
123,1708,Kabupaten Kepahiang,Bengkulu,2021,56.4
124,1709,Kabupaten Bengkulu Tengah,Bengkulu,2021,66.9
125,1771,Kota Bengkulu,Bengkulu,2021,57.7
126,1804,Kabupaten Lampung Barat,Lampung,2021,58.3
127,1806,Kabupaten Tanggamus,Lampung,2021,55.5
128,1801,Kabupaten Lampung Selatan,Lampung,2021,61.4
129,1807,Kabupaten Lampung Timur,Lampung,2021,57
130,1802,Kabupaten Lampung Tengah,Lampung,2021,59.6
131,1803,Kabupaten Lampung Utara,Lampung,2021,50.4
132,1808,Kabupaten Way Kanan,Lampung,2021,57.4
133,1805,Kabupaten Tulang Bawang,Lampung,2021,52.5
134,1809,Kabupaten Pesawaran,Lampung,2021,60.2
135,1810,Kabupaten Pringsewu,Lampung,2021,57.2
136,1811,Kabupaten Mesuji,Lampung,2021,55.3
137,1812,Kabupaten Tulang Bawang Barat,Lampung,2021,48.2
138,1813,Kabupaten Pesisir Barat,Lampung,2021,55.3
139,1871,Kota Bandar Lampung,Lampung,2021,62.1
140,1872,Kota Metro,Lampung,2021,61.7
141,1901,Kabupaten Bangka,Kep. Bangka Belitung,2021,66.5
142,1902,Kabupaten Belitung,Kep. Bangka Belitung,2021,64.1
143,1905,Kabupaten Bangka Barat,Kep. Bangka Belitung,2021,65
144,1904,Kabupaten Bangka Tengah,Kep. Bangka Belitung,2021,63.7
145,1903,Kabupaten Bangka Selatan,Kep. Bangka Belitung,2021,62
146,1906,Kabupaten Belitung Timur,Kep. Bangka Belitung,2021,67.4
147,1971,Kota Pangkal Pinang,Kep. Bangka Belitung,2021,64
148,2102,Kabupaten Karimun,Kep. Riau,2021,63.1
149,2101,Kabupaten Bintan,Kep. Riau,2021,62.1
150,2103,Kabupaten Natuna,Kep. Riau,2021,60.9
151,2104,Kabupaten Lingga,Kep. Riau,2021,63.3
152,2105,Kabupaten Kepulauan Anambas,Kep. Riau,2021,52.7
153,2171,Kota Batam,Kep. Riau,2021,73.9
154,2172,Kota Tanjung Pinang,Kep. Riau,2021,67.8
155,3101,Kabupaten Kepulauan Seribu,DKI Jakarta,2021,63.7
156,3174,Kota Jakarta Selatan,DKI Jakarta,2021,66.4
157,3175,Kota Jakarta Timur,DKI Jakarta,2021,69.6
158,3171,Kota Jakarta Pusat,DKI Jakarta,2021,71.5
159,3173,Kota Jakarta Barat,DKI Jakarta,2021,70.8
160,3172,Kota Jakarta Utara,DKI Jakarta,2021,75.7
161,3201,Kabupaten Bogor,Jawa Barat,2021,59.5
162,3202,Kabupaten Sukabumi,Jawa Barat,2021,66.9
163,3203,Kabupaten Cianjur,Jawa Barat,2021,64.5
164,3204,Kabupaten Bandung,Jawa Barat,2021,61.6
165,3205,Kabupaten Garut,Jawa Barat,2021,52.9
166,3206,Kabupaten Tasikmalaya,Jawa Barat,2021,59.5
167,3207,Kabupaten Ciamis,Jawa Barat,2021,67.5
168,3208,Kabupaten Kuningan,Jawa Barat,2021,66
169,3209,Kabupaten Cirebon,Jawa Barat,2021,75.2
170,3210,Kabupaten Majalengka,Jawa Barat,2021,69.2
171,3211,Kabupaten Sumedang,Jawa Barat,2021,65.5
172,3212,Kabupaten Indramayu,Jawa Barat,2021,79.6
173,3213,Kabupaten Subang,Jawa Barat,2021,69
174,3214,Kabupaten Purwakarta,Jawa Barat,2021,66.3
175,3215,Kabupaten Karawang,Jawa Barat,2021,67.8
176,3216,Kabupaten Bekasi,Jawa Barat,2021,64.5
177,3217,Kabupaten Bandung Barat,Jawa Barat,2021,57.3
178,3218,Kabupaten Pangandaran,Jawa Barat,2021,68.4
179,3271,Kota Bogor,Jawa Barat,2021,61
180,3272,Kota Sukabumi,Jawa Barat,2021,63.9
181,3273,Kota Bandung,Jawa Barat,2021,66.6
182,3274,Kota Cirebon,Jawa Barat,2021,63.6
183,3275,Kota Bekasi,Jawa Barat,2021,68.9
184,3276,Kota Depok,Jawa Barat,2021,64.7
185,3277,Kota Cimahi,Jawa Barat,2021,60.7
186,3278,Kota Tasikmalaya,Jawa Barat,2021,70.1
